BSP chunks: 379, textured: 361
  [45] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=51
  [46] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=111
  [47] tex='Corridor_straight_diffuse' glId=360 2048x2048 verts=139
  [48] tex='RoughWaterLowRefCube' glId=0 256x256 verts=65
  [49] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=18
  [50] tex='Marble_ceiling_damage_diffuse' glId=202 2048x2048 verts=45
  [51] tex='med_wall_public_dirt' glId=349 2048x2048 verts=221
  [52] tex='wallHole_corner_Diffuse' glId=66 2048x2048 verts=13
  [53] tex='med_wall_public_dirt' glId=349 2048x2048 verts=71
  [54] tex='Bathysphere_Gunmetal_Diffuse' glId=355 1024x1024 verts=4
  [55] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=34
  [56] tex='med_wall_public_dirt' glId=349 2048x2048 verts=476
  [57] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=104
  [58] tex='catwalk_solid_diffuse' glId=113 2048x2048 verts=9
  [59] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=166
  [60] tex='CalmwaterCube_Midref' glId=0 256x256 verts=22
  [61] tex='med_wall_public_dirt' glId=349 2048x2048 verts=9
  [62] tex='Bathysphere_Gunmetal_Diffuse' glId=355 1024x1024 verts=21
  [63] tex='concrete_03_ALT_D' glId=354 2048x2048 verts=10
  [64] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=141
  [65] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=135
  [66] tex='med_wall_public_dirt' glId=349 2048x2048 verts=273
  [67] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=41
  [68] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=180
  [69] tex='Bathysphere_Gunmetal_Diffuse' glId=355 1024x1024 verts=60
  [70] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=123
  [71] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=17
  [72] tex='med_wall_public_dirt' glId=349 2048x2048 verts=40
  [73] tex='med_wall_public_dirt' glId=349 2048x2048 verts=36
  [74] tex='small_wood' glId=52 2048x2048 verts=18
  [75] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=10
  [76] tex='floor_beech_diffuse' glId=109 2048x2048 verts=25
  [77] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=18
  [78] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=20
  [79] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=14
  [80] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=125
  [81] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=106
  [82] tex='tinceiling01_diffuse' glId=361 512x512 verts=12
  [83] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=19
  [84] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=33
  [85] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=16
  [86] tex='med_wall_public_dirt' glId=349 2048x2048 verts=8
  [87] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=30
  [88] tex='med_wall_public_dirt' glId=349 2048x2048 verts=192
  [89] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=34
  [90] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=8
  [91] tex='Marble_Stairs_diffuse' glId=27 2048x2048 verts=4
  [92] tex='wood_plank' glId=214 2048x2048 verts=14
  [93] tex='concrete_02' glId=359 2048x2048 verts=20
  [94] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=116
  [95] tex='concrete_03_ALT_D' glId=354 2048x2048 verts=8
  [96] tex='Marble_ceiling_damage_diffuse' glId=202 2048x2048 verts=16
  [97] tex='RoughWaterLowRefCube' glId=0 256x256 verts=28
  [98] tex='concrete_03_ALT_D' glId=354 2048x2048 verts=26
  [99] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=61
  [100] tex='Sandy_Bottom_01_Diffuse' glId=352 2048x2048 verts=12
  [101] tex='Bathysphere_Gunmetal_Diffuse' glId=355 1024x1024 verts=32
  [102] tex='conveyorbelt_diffuse' glId=362 1024x1024 verts=7
  [103] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=55
  [104] tex='tinceiling01_diffuse' glId=361 512x512 verts=8
  [105] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=13
  [106] tex='concrete_03_ALT_D' glId=354 2048x2048 verts=39
  [107] tex='Wallpaper2_diffuse' glId=363 2048x1024 verts=128
  [108] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=45
  [109] tex='Medical_Pillar_Texture_diffuse' glId=358 256x512 verts=24
  [110] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=66
  [111] tex='med_wall_public_dirt' glId=349 2048x2048 verts=9
  [112] tex='res_facade_diffuse' glId=364 2048x1024 verts=148
  [113] tex='Bathysphere_Gunmetal_Diffuse' glId=355 1024x1024 verts=215
  [114] tex='med_wall_public_dirt' glId=349 2048x2048 verts=105
  [115] tex='Low_Rent_Door_Diffuse' glId=172 2048x2048 verts=19
  [116] tex='med_wall_public_dirt' glId=349 2048x2048 verts=265
  [117] tex='floor_beech_diffuse' glId=109 2048x2048 verts=53
  [118] tex='Bathysphere_Gunmetal_Diffuse' glId=355 1024x1024 verts=39
  [119] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=24
  [120] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=21
  [121] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=58
  [122] tex='Wallpaper_A_Diffuse' glId=356 2048x2048 verts=94
  [123] tex='facade_center_diffuse' glId=100 2048x2048 verts=15
  [124] tex='med_wall_public_dirt' glId=349 2048x2048 verts=282
  [125] tex='med_wall_public_dirt' glId=349 2048x2048 verts=498
  [126] tex='Dirt_Diffuse' glId=365 2048x2048 verts=3
  [127] tex='res_facade_diffuse' glId=364 2048x1024 verts=9
  [128] tex='Medical_Pillar_Texture_diffuse' glId=358 256x512 verts=16
  [129] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=39
  [130] tex='Furnace_Diffuse' glId=366 512x512 verts=125
  [131] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=19
  [132] tex='med_wall_public_dirt' glId=349 2048x2048 verts=644
  [133] tex='CWS-Platform' glId=367 1024x1024 verts=19
  [134] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=124
  [135] tex='white_texture' glId=368 16x16 verts=4
  [136] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=85
  [137] tex='med_wall_public_dirt' glId=349 2048x2048 verts=58
  [138] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=40
  [139] tex='Dirt_Diffuse' glId=365 2048x2048 verts=8
  [140] tex='floor_beech_diffuse' glId=109 2048x2048 verts=8
  [141] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=25
  [142] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=98
  [143] tex='Medical_Pillar_Texture_diffuse' glId=358 256x512 verts=56
  [144] tex='floor_carpet_diffuse' glId=369 512x512 verts=33
  [145] tex='med_wall_public_dirt' glId=349 2048x2048 verts=796
  [146] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=176
  [147] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=218
  [148] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=59
  [149] tex='Dirt_Diffuse' glId=365 2048x2048 verts=12
  [150] tex='Dirt_Diffuse' glId=365 2048x2048 verts=4
  [151] tex='floor_beech_diffuse' glId=109 2048x2048 verts=12
  [152] tex='med_wall_public_dirt' glId=349 2048x2048 verts=49
  [153] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=10
  [154] tex='floor_carpet_diffuse' glId=369 512x512 verts=80
  [155] tex='med_wall_public_dirt' glId=349 2048x2048 verts=59
  [156] tex='med_wall_public_dirt' glId=349 2048x2048 verts=248
  [157] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=15
  [158] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=320
  [159] tex='facade_side_diffuse' glId=183 2048x2048 verts=19
  [160] tex='floor_beech_diffuse' glId=109 2048x2048 verts=19
  [161] tex='concrete_02' glId=359 2048x2048 verts=20
  [162] tex='med_wall_public_dirt' glId=349 2048x2048 verts=75
  [163] tex='floor_carpet02_diffuse' glId=370 1024x1024 verts=10
  [164] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=29
  [165] tex='CalmwaterCube_Midref' glId=0 256x256 verts=5
  [166] tex='Medical_Pillar_Texture_diffuse' glId=358 256x512 verts=12
  [167] tex='Medical_pillar_pieces' glId=120 2048x2048 verts=17
  [168] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=4
  [169] tex='floor_carpet_diffuse' glId=369 512x512 verts=17
  [170] tex='girder_01_diffuse' glId=371 256x512 verts=56
  [171] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=29
  [172] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=93
  [173] tex='Wallpaper_02_Diffuse' glId=372 2048x2048 verts=145
  [174] tex='Wallpaper2_diffuse' glId=363 2048x1024 verts=87
  [175] tex='facade_center_cap_diffuse' glId=107 1024x1024 verts=149
  [176] tex='granitebrick001_diffuse' glId=373 2048x1024 verts=5
  [177] tex='floor_carpet02_diffuse' glId=370 1024x1024 verts=12
  [178] tex='res_facade_wfeature_diffuse' glId=346 2048x1024 verts=9
  [179] tex='Medical_Pillar_Texture_diffuse' glId=358 256x512 verts=16
  [180] tex='med_wall_public_dirt' glId=349 2048x2048 verts=9
  [181] tex='concrete_02' glId=359 2048x2048 verts=10
  [182] tex='Bathysphere_Gunmetal_Diffuse' glId=355 1024x1024 verts=5
  [183] tex='med_wall_public_dirt' glId=349 2048x2048 verts=62
  [184] tex='concrete_02' glId=359 2048x2048 verts=12
  [185] tex='med_wall_public_dirt' glId=349 2048x2048 verts=91
  [186] tex='Medical_Pillar_Texture_diffuse' glId=358 256x512 verts=20
  [187] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=21
  [188] tex='small_wood' glId=52 2048x2048 verts=11
  [189] tex='concrete_03_ALT_D' glId=354 2048x2048 verts=4
  [190] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=10
  [191] tex='floor_beech_diffuse' glId=109 2048x2048 verts=69
  [192] tex='med_wall_public_dirt' glId=349 2048x2048 verts=14
  [193] tex='Wallpaper_A_Diffuse' glId=356 2048x2048 verts=142
  [194] tex='med_wall_public_dirt' glId=349 2048x2048 verts=56
  [195] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=77
  [196] tex='CalmwaterCube_Midref' glId=0 256x256 verts=4
  [197] tex='white_texture' glId=368 16x16 verts=37
  [198] tex='concrete_02' glId=359 2048x2048 verts=4
  [199] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=28
  [200] tex='Wallpaper2_diffuse' glId=363 2048x1024 verts=69
  [201] tex='floor_carpet02_diffuse' glId=370 1024x1024 verts=14
  [202] tex='floor_beech_diffuse' glId=109 2048x2048 verts=40
  [203] tex='Plaster_Panel_Diffuse' glId=374 2048x2048 verts=4
  [204] tex='MetalFloorTrim_01_D' glId=375 1024x512 verts=23
  [205] tex='med_wall_public_dirt' glId=349 2048x2048 verts=500
  [206] tex='MetalFloorTrim_01_D' glId=375 1024x512 verts=22
  [207] tex='med_wall_public_dirt' glId=349 2048x2048 verts=68
  [208] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=12
  [209] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=12
  [210] tex='Plaster_Panel_Diffuse' glId=374 2048x2048 verts=24
  [211] tex='RoughWaterLowRefCube' glId=0 256x256 verts=10
  [212] tex='med_wall_public_dirt' glId=349 2048x2048 verts=217
  [213] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=71
  [214] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=61
  [215] tex='med_wall_public_dirt' glId=349 2048x2048 verts=168
  [216] tex='Medical_Pillar_Texture_diffuse' glId=358 256x512 verts=59
  [217] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=10
  [218] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=32
  [219] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=72
  [220] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=99
  [221] tex='Medical_Pillar_Texture_diffuse' glId=358 256x512 verts=59
  [222] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=8
  [223] tex='floor_beech_diffuse' glId=109 2048x2048 verts=233
  [224] tex='concrete_02' glId=359 2048x2048 verts=13
  [225] tex='alan_metal_specular' glId=376 512x512 verts=100
  [226] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=292
  [227] tex='RoughWaterLowRefCube' glId=0 256x256 verts=27
  [228] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=191
  [229] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=397
  [230] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=177
  [231] tex='Dirt_Diffuse' glId=365 2048x2048 verts=26
  [232] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=171
  [233] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=24
  [234] tex='Bathysphere_Gunmetal_Diffuse' glId=355 1024x1024 verts=13
  [235] tex='med_wall_public_dirt' glId=349 2048x2048 verts=96
  [236] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=133
  [237] tex='chainpulleyblockibeam_diffuse' glId=377 1024x512 verts=16
  [238] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=21
  [239] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=91
  [240] tex='Corridor_straight_diffuse' glId=360 2048x2048 verts=95
  [241] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=36
  [242] tex='chainpulleyblockibeam_diffuse' glId=377 1024x512 verts=16
  [243] tex='med_wall_public_dirt' glId=349 2048x2048 verts=12
  [244] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=48
  [245] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=276
  [246] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=74
  [247] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=17
  [248] tex='CalmwaterCube_Midref' glId=0 256x256 verts=18
  [249] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=135
  [250] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=15
  [251] tex='Bathysphere_Gunmetal_Diffuse' glId=355 1024x1024 verts=56
  [252] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=15
  [253] tex='med_wall_public_dirt' glId=349 2048x2048 verts=217
  [254] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=309
  [255] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=57
  [256] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=87
  [257] tex='med_wall_public_dirt' glId=349 2048x2048 verts=308
  [258] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=106
  [259] tex='Stairs_open_diffuse' glId=30 2048x2048 verts=5
  [260] tex='RoughWaterLowRefCube' glId=0 256x256 verts=95
  [261] tex='scilabwall_diffuse' glId=348 2048x2048 verts=6
  [262] tex='small_wood' glId=52 2048x2048 verts=48
  [263] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=17
  [264] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=33
  [265] tex='floor_beech_diffuse' glId=109 2048x2048 verts=7
  [266] tex='med_wall_public_dirt' glId=349 2048x2048 verts=4
  [267] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=33
  [268] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=10
  [269] tex='med_wall_public_dirt' glId=349 2048x2048 verts=92
  [270] tex='Medical_Pillar_Texture_diffuse' glId=358 256x512 verts=47
  [271] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=19
  [272] tex='small_wood' glId=52 2048x2048 verts=19
  [273] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=90
  [274] tex='RoughWaterLowRefCube' glId=0 256x256 verts=14
  [275] tex='Low_Rent_Door_Diffuse' glId=172 2048x2048 verts=24
  [276] tex='med_wall_public_dirt' glId=349 2048x2048 verts=25
  [277] tex='Low_Rent_Door_Diffuse' glId=172 2048x2048 verts=14
  [278] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=7
  [279] tex='med_wall_public_dirt' glId=349 2048x2048 verts=4
  [280] tex='Low_Rent_Door_Diffuse' glId=172 2048x2048 verts=33
  [281] tex='med_wall_public_dirt' glId=349 2048x2048 verts=112
  [282] tex='med_wall_public_dirt' glId=349 2048x2048 verts=811
  [283] tex='Bathroom_Tile_Diffuse' glId=357 2048x2048 verts=24
  [284] tex='Medical_Pillar_Texture_diffuse' glId=358 256x512 verts=4
  [285] tex='scilabwall_diffuse' glId=348 2048x2048 verts=334
  [286] tex='concrete_03_ALT_D' glId=354 2048x2048 verts=144
  [287] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=109
  [288] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=250
  [289] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=34
  [290] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=42
  [291] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=173
  [292] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=9
  [293] tex='RoughWaterLowRefCube' glId=0 256x256 verts=8
  [294] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=332
  [295] tex='med_wall_public_dirt' glId=349 2048x2048 verts=323
  [296] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=57
  [297] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=73
  [298] tex='RoughWaterLowRefCube' glId=0 256x256 verts=27
  [299] tex='floor_beech_diffuse' glId=109 2048x2048 verts=142
  [300] tex='chainpulleyblockibeam_diffuse' glId=377 1024x512 verts=16
  [301] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=252
  [302] tex='med_ceiling_01_Dirty_Diffuse' glId=378 1024x1024 verts=66
  [303] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=53
  [304] tex='floor_tiles_trim' glId=379 512x2048 verts=5
  [305] tex='CalmwaterCube_Midref' glId=0 256x256 verts=6
  [306] tex='Bathysphere_Gunmetal_Diffuse' glId=355 1024x1024 verts=25
  [307] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=4
  [308] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=39
  [309] tex='Stairs_open_diffuse' glId=30 2048x2048 verts=70
  [310] tex='med_wall_public_dirt' glId=349 2048x2048 verts=59
  [311] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=11
  [312] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=27
  [313] tex='med_ceiling_01_Dirty_Diffuse' glId=378 1024x1024 verts=14
  [314] tex='Bathroom_Tile_Diffuse' glId=357 2048x2048 verts=5
  [315] tex='WallTech_Diffuse' glId=380 1024x1024 verts=168
  [316] tex='med_wall_public_dirt' glId=349 2048x2048 verts=94
  [317] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=279
  [318] tex='Medical_Pillar_Texture_diffuse' glId=358 256x512 verts=185
  [319] tex='Dirt_Diffuse' glId=365 2048x2048 verts=17
  [320] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=16
  [321] tex='scilabwall_diffuse' glId=348 2048x2048 verts=105
  [322] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=50
  [323] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=50
  [324] tex='floor_carpet_diffuse' glId=369 512x512 verts=11
  [325] tex='concrete_03_Diffuse' glId=353 2048x2048 verts=80
  [326] tex='chainpulleyblockibeam_diffuse' glId=377 1024x512 verts=32
  [327] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=36
  [328] tex='Bathysphere_Gunmetal_Diffuse' glId=355 1024x1024 verts=28
  [329] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=54
  [330] tex='Bathroom_Tile_BW_dirt' glId=35 2048x2048 verts=57
  [331] tex='med_wall_public_dirt' glId=349 2048x2048 verts=112
  [332] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=11
  [333] tex='Bathysphere_Gunmetal_Diffuse' glId=355 1024x1024 verts=17
  [334] tex='med_wall_public_dirt' glId=349 2048x2048 verts=43
  [335] tex='Wallpaper2_diffuse' glId=363 2048x1024 verts=87
  [336] tex='med_wall_public_dirt' glId=349 2048x2048 verts=156
  [337] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=33
  [338] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=8
  [339] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=9
  [340] tex='scilabwall_diffuse' glId=348 2048x2048 verts=353
  [341] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=359
  [342] tex='floor_tiles_hex3_Dirty_Diffuse' glId=347 2048x2048 verts=90
  [343] tex='Medical_Pillar_Texture_diffuse' glId=358 256x512 verts=471
  [344] tex='Plaster_Panel_Diffuse' glId=374 2048x2048 verts=9
  [345] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=49
  [346] tex='Medical_Pillar_Texture_diffuse' glId=358 256x512 verts=8
  [347] tex='Wallpaper2_diffuse' glId=363 2048x1024 verts=63
  [348] tex='CalmWater_MidRef' glId=0 256x256 verts=32
  [349] tex='concrete_03_ALT_D' glId=354 2048x2048 verts=34
  [350] tex='tempwall' glId=381 1024x1024 verts=65
  [351] tex='med_wall_public_dirt' glId=349 2048x2048 verts=50
  [352] tex='Dirt_Diffuse' glId=365 2048x2048 verts=8
  [353] tex='Dirt_Diffuse' glId=365 2048x2048 verts=5
  [354] tex='DESAT_stepwood_diffuse' glId=382 512x1024 verts=4
  [355] tex='lab_table_diffuse' glId=155 1024x1024 verts=14
  [356] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=23
  [357] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=12
  [358] tex='RoughWaterLowRefCube' glId=0 256x256 verts=6
  [359] tex='concrete_02' glId=359 2048x2048 verts=16
  [360] tex='concrete_02' glId=359 2048x2048 verts=40
  [361] tex='concrete_03_Diffuse' glId=353 2048x2048 verts=64
  [362] tex='floor_carpet02_diffuse' glId=370 1024x1024 verts=19
  [363] tex='RoughWaterLowRefCube' glId=0 256x256 verts=4
  [364] tex='small_wood' glId=52 2048x2048 verts=6
  [365] tex='chainpulleyblockibeam_diffuse' glId=377 1024x512 verts=38
  [366] tex='floor_carpet_diffuse' glId=369 512x512 verts=29
  [367] tex='floor_beech_diffuse' glId=109 2048x2048 verts=4
  [368] tex='med_wall_public_dirt' glId=349 2048x2048 verts=143
  [369] tex='Med_Tile_white_Dirty_Diffuse' glId=350 2048x2048 verts=113
  [370] tex='med_wall_public_dirt' glId=349 2048x2048 verts=16
  [371] tex='med_pillar_large_diffuse' glId=14 2048x2048 verts=69
  [372] tex='small_wood' glId=52 2048x2048 verts=9
  [373] tex='Medical_ceilling2_dirt' glId=345 512x512 verts=8
  [374] tex='Medical_ceilling02_Diffuse' glId=351 2048x2048 verts=12
